OBJECTID,RecordID,Name,Address_Line_1,Address_Line_2,Borough,Cuisine
2103,50133644,DUE MADRI,25 11 AVENUE,"New York, NY 10011",Manhattan,Sandwiches
2104,50105056,DRIFT IN,389 WEST STREET,"New York, NY 10014",Manhattan,Seafood
2115,50106067,EMPANADA MAMA,200B WEST   40 STREET,"New York, NY 10018",Manhattan,Latin American
2122,50045582,DUNKIN',1964 3 AVENUE,"New York, NY 10029",Manhattan,Donuts
2123,50119599,DHOM,505 EAST   12 STREET,"New York, NY 10009",Manhattan,Thai
2125,50136934,EL NUEVO CAPRI II RESTAURANT,1497 SAINT NICHOLAS AVENUE,"New York, NY 10033",Manhattan,Latin American
2132,50117190,DIG,286 MADISON AVENUE,"New York, NY 10017",Manhattan,American 
2133,50109149,EPICERIE BOULUD @ OVA,1 VANDERBILT AVENUE,"New York, NY 10017",Manhattan,Coffee/Tea
2137,50089246,DUNKIN' DONUTS/BASKIN ROBBINS,140 EAST   34 STREET,"New York, NY 10016",Manhattan,Donuts
2140,50094131,ESSEX RESTAURANT,124 RIVINGTON STREET,"New York, NY 10002",Manhattan,American 
2141,50089187,"DUNKIN', BASKIN ROBBINS",361 1 AVENUE,"New York, NY 10010",Manhattan,Coffee/Tea
2144,50044842,"DUNKIN, BASKIN ROBBINS",900 SAINT NICHOLAS AVENUE,"New York, NY 10032",Manhattan,Donuts
2148,50080876,DUNKIN,800 2 AVENUE,"New York, NY 10017",Manhattan,Donuts
2149,50110625,DOMAIN CAFE (GOOGLE),111 8 AVENUE,"New York, NY 10011",Manhattan,Other
2152,50105135,EXCELLENT DUMPLING HOUSE,165 WEST   23 STREET,"New York, NY 10011",Manhattan,Chinese
2155,50080882,DUNKIN',875 3 AVENUE,"New York, NY 10022",Manhattan,Donuts
2156,50120878,DOMAKASE,23 AVENUE B,"New York, NY 10009",Manhattan,Japanese
2163,50084846,FABRIQUE,348 WEST   14 STREET,"New York, NY 10014",Manhattan,Bakery Products/Desserts
2164,50089180,DUNKIN,476 2 AVENUE,"New York, NY 10016",Manhattan,American 
2167,50093783,EL VALLE LENOX,588 LENOX AVENUE,"New York, NY 10037",Manhattan,Spanish
2168,50089200,DUNKIN,638 LEXINGTON AVENUE,"New York, NY 10022",Manhattan,Donuts
2170,50118086,FASANO,280 PARK AVENUE,"New York, NY 10017",Manhattan,Italian
2171,50089204,DUNKIN,101 EAST   16 STREET,"New York, NY 10003",Manhattan,Donuts
2175,50089206,DUNKIN,712 3 AVENUE,"New York, NY 10017",Manhattan,Coffee/Tea
2182,50089254,DUNKIN,916 3 AVENUE,"New York, NY 10022",Manhattan,Donuts
2185,50099039,DUNKIN,1235 AMSTERDAM AVENUE,"New York, NY 10027",Manhattan,Donuts
2188,50116763,DUNKIN',1406 SAINT NICHOLAS AVENUE,"New York, NY 10033",Manhattan,Coffee/Tea
2191,50080892,DUNKIN,25 WEST   43 STREET,"New York, NY 10036",Manhattan,Donuts
2193,50117669,"EARLY EDITION RESTAURANT, THE PRESS CLUB GRILL, EARLY EDITION COFFEE",1260 BROADWAY,"New York, NY 10001",Manhattan,New American
2197,50089242,DUNKIN,72 WEST    3 STREET,"New York, NY 10012",Manhattan,Donuts
2198,50106652,EMACK & BOLIO'S,1005 2 AVENUE,"New York, NY 10022",Manhattan,Frozen Desserts
2199,50124500,EAT OFFBEAT,75 9 AVENUE,"New York, NY 10011",Manhattan,Mediterranean
2203,50117129,DUNKIN,1590 MADISON AVENUE,"New York, NY 10029",Manhattan,Donuts
2204,50101256,EMMY SQUARED,1426 3 AVENUE,"New York, NY 10028",Manhattan,American 
2211,50123003,FIFTYLAN,875 6 AVENUE,"New York, NY 10001",Manhattan,Coffee/Tea
2212,50137573,EMPIRE STEAK HOUSE,233 WEST   49 STREET,"New York, NY 10019",Manhattan,American 
2213,50128940,MELI TAQUERIA,184 EAST  116 STREET,"New York, NY 10029",Manhattan,Mexican
2216,50113664,EFFYS CAFE,1688 YORK AVENUE,"New York, NY 10128",Manhattan,Jewish/Kosher
2221,50119231,DUNKIN,370 LEXINGTON AVENUE,"New York, NY 10017",Manhattan,Donuts
2223,50111907,DUNKIN,973 8 AVENUE,"New York, NY 10019",Manhattan,Donuts
2227,50118007,Dunkin Donuts,243 9 AVENUE,"New York, NY 10001",Manhattan,Donuts
2230,50089238,"DUNKIN , BASKIN ROBBINS",100 1 AVENUE,"New York, NY 10009",Manhattan,Donuts
2232,50134543,EL CABRON TAQUERIA,23 ESSEX STREET,"New York, NY 10002",Manhattan,Mexican
2233,50108935,EPICES BAKERY,104 WEST   70 STREET,"New York, NY 10023",Manhattan,Bakery Products/Desserts
2239,50116702,ERNST AND YOUNG,401 9 AVENUE,"New York, NY 10001",Manhattan,Coffee/Tea
2242,50095147,ESCO CAFE,687 9 AVENUE,"New York, NY 10036",Manhattan,Coffee/Tea
2246,50115208,DUAL TOWNE PLACE SUITES/SPRINGHILL SUITES,140 WEST   28 STREET,"New York, NY 10001",Manhattan,Other
2248,50137347,EVERETT CAFE (TEACHER'S COLLEGE),501 WEST  121 STREET,"New York, NY 10027",Manhattan,Coffee/Tea
2252,50106573,EL MIL SABORES,695 9 AVENUE,"New York, NY 10036",Manhattan,Tex-Mex
2259,50080388,MACE,35 WEST    8 STREET,"New York, NY 10011",Manhattan,New American
2260,50109808,DUNKIN' DONUTS,595 10 AVENUE,"New York, NY 10036",Manhattan,Coffee/Tea
2261,50097856,DUNKIN DONUTS,900 2 AVENUE,"New York, NY 10017",Manhattan,Donuts
2263,50089251,"DUNKIN',' BASKIN ROBBINS",542 EAST   14 STREET,"New York, NY 10009",Manhattan,Donuts
2267,50130981,FIVE FLIES COFFEE,554 WEST  158 STREET,"New York, NY 10032",Manhattan,American 
2268,50128326,EL PASO MEXICAN RESTAURANT,123 EAST  110 STREET,"New York, NY 10029",Manhattan,Mexican
2270,50118487,FIVE GUYS,80 MAIDEN LANE,"New York, NY 10038",Manhattan,Hamburgers
2281,50127492,FAMOUS 1 DOLLAR PIZZA,578A 9 AVENUE,"New York, NY 10036",Manhattan,Pizza
2294,50109358,FOOD CITY CAFE & PIZZA,1691 BROADWAY,"New York, NY 10019",Manhattan,Other
2299,50112933,DUNKIN DONUTS,124 EAST   57 STREET,"New York, NY 10022",Manhattan,Donuts
2306,50056398,DUNKIN DONUTS BASKIN ROBBINS,3504 BROADWAY,"New York, NY 10031",Manhattan,Donuts
2307,50042840,DUNKIN,105 WEST  125 STREET,"New York, NY 10027",Manhattan,Donuts
2313,50080893,DUNKIN,882 LEXINGTON AVENUE,"New York, NY 10065",Manhattan,Donuts
2315,50103133,DUNKIN',1631 LEXINGTON AVENUE,"New York, NY 10029",Manhattan,Donuts
