,lon,short_name,region_id,capacity,station_id,name,lat,rental_uris.android,rental_uris.ios,geometry,index_right,zone
2030,-74.01129573583603,5696.03,71,23,66ddbdb1-0aca-11e7-82f6-3863bb44ef7c,Pier 40 - Hudson River Park,40.7277140777778,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.01129573583603 40.7277140777778),696,Hudson Sq
2031,-73.97138714790344,6422.09,71,39,66dea8ff-0aca-11e7-82f6-3863bb44ef7c,E 44 St & 2 Ave,40.75118387463277,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.97138714790344 40.75118387463277),1390,UN/Turtle Bay South
2038,-73.97121414,6422.08,71,52,66dca5f3-0aca-11e7-82f6-3863bb44ef7c,E 43 St & 2 Ave,40.75022392,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.97121414 40.75022392),1390,UN/Turtle Bay South
2039,-73.97037800510203,6801.16,71,39,1967778612889039234,E 61 St & Madison Ave,40.764752828526326,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.97037800510203 40.764752828526326),1465,Upper East Side South
2040,-73.977706,6432.09,71,83,66dc8025-0aca-11e7-82f6-3863bb44ef7c,Park Ave & E 42 St,40.751873,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.977706 40.751873),1123,Murray Hill
2041,-73.937413,7971.07,71,25,298d4e45-c6d2-45f1-a07a-11606026a6e4,W 147 St & Adam Clayton Powell Blvd,40.82281,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.937413 40.82281),96,Central Harlem North
2042,-73.989539,6483.06,71,38,d7c56fef-1bf9-4315-85af-8638c534b402,W 36 St & 7 Ave,40.752149,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.989539 40.752149),524,Garment District
2043,-73.90941,8776.02,71,19,1861680383828308814,Marble Hill Ave & W 227 St,40.87655,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.90941 40.87655),979,Marble Hill
2048,-73.976831,5616.08,71,41,3ac7b47b-2253-4a0b-bf7d-8a2eb6b78a38,E 12 St & Ave C,40.727243,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.976831 40.727243),0,Alphabet City
2050,-73.97449783980846,6197.08,71,83,61c82689-3f4c-495d-8f44-e71de8f04088,E 33 St & 1 Ave,40.74322681432173,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.97449783980846 40.74322681432173),780,Kips Bay
2053,-73.96188408136368,7577.27,71,40,7d41ac98-df88-497a-aef9-968660e6da0f,Central Park W & W 103 St,40.79558954105342,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.96188408136368 40.79558954105342),926,Manhattan Valley
2054,-74.00363802909851,5805.07,71,87,c466f15e-715f-411e-904e-1a71fb574cdd,7 Ave S & Bleecker St,40.73213896287381,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.00363802909851 40.73213896287381),1697,West Village
2056,-73.957145,7631.23,71,37,46bdd925-fb6c-4654-85d8-e0db4da62abf,Frederick Douglass Blvd & W 112 St,40.801694,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.957145 40.801694),59,Central Harlem
2061,-73.98564945,5626.13,71,69,66dc1702-0aca-11e7-82f6-3863bb44ef7c,St Marks Pl & 1 Ave,40.727791260000004,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98564945 40.727791260000004),451,East Village
2062,-73.989111,5484.09,71,49,66db72f1-0aca-11e7-82f6-3863bb44ef7c,Allen St & Stanton St,40.722055,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.989111 40.722055),905,Lower East Side
2063,-73.98122549057007,5971.09,71,49,6ff2eec8-2b72-490a-b1c3-f9892ab3a724,E 22 St & 2 Ave,40.73716919369882,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98122549057007 40.73716919369882),570,Gramercy
2064,-74.0021163,6578.01,71,80,66dc8382-0aca-11e7-82f6-3863bb44ef7c,W 34 St & 11 Ave,40.75594159,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.0021163 40.75594159),1657,West Chelsea/Hudson Yards
2068,-74.01587963104248,5368.03,71,69,a6492ad5-d13e-48b0-a0d5-08e60ad93e53,River Ter & Warren St,40.71759894980997,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.01587963104248 40.71759894980997),26,Battery Park City
2071,-73.98840844631195,5669.12,71,69,3edec530-4791-4872-8912-2a2397a903a4,E 6 St & 2 Ave,40.727378693232225,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98840844631195 40.727378693232225),451,East Village
2076,-73.97667321,7360.10,71,39,66dd4f9b-0aca-11e7-82f6-3863bb44ef7c,Amsterdam Ave & W 82 St,40.78524672,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.97667321 40.78524672),1523,Upper West Side South
2077,-73.98165557,5779.08,71,54,66dc7802-0aca-11e7-82f6-3863bb44ef7c,1 Ave & E 16 St,40.73221853,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98165557 40.73221853),1268,Stuy Town/Peter Cooper Village
2080,-73.98261206,5335.03,71,33,66dbc7d2-0aca-11e7-82f6-3863bb44ef7c,Bialystoker Pl & Delancey St,40.71622644,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98261206 40.71622644),1351,Two Bridges/Seward Park
2084,-73.9605909006,7606.01,71,59,66de077f-0aca-11e7-82f6-3863bb44ef7c,W 106 St & Central Park W,40.7981856,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.9605909006 40.7981856),926,Manhattan Valley
2086,-73.98753523,6441.02,71,57,66dbcb2f-0aca-11e7-82f6-3863bb44ef7c,Broadway & W 37 St,40.75172632,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98753523 40.75172632),524,Garment District
2090,-74.00747358798981,6115.09,71,57,2527619f-ef89-425c-bf3b-60cc0ec519bf,W 15 St & 10 Ave,40.742753828659026,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.00747358798981 40.742753828659026),319,East Chelsea
2093,-73.98178024,5406.04,71,15,66dbefee-0aca-11e7-82f6-3863bb44ef7c,Pitt St & Stanton St,40.71926081,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98178024 40.71926081),1351,Two Bridges/Seward Park
2094,-74.00552427,5137.10,71,34,66db3898-0aca-11e7-82f6-3863bb44ef7c,Spruce St & Nassau St,40.71146364,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.00552427 40.71146364),1241,Seaport
2098,-73.96592976,6532.06,71,35,66dc210e-0aca-11e7-82f6-3863bb44ef7c,E 51 St & 1 Ave,40.75455731,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.96592976 40.75455731),1283,Sutton Place/Turtle Bay North
2100,-73.98160636425018,6089.11,71,39,7c7cb750-6613-48a4-bfae-9240968f1fad,E 26 St & 3 Ave,40.74069317733043,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98160636425018 40.74069317733043),780,Kips Bay
2101,-73.99400398,5198.04,71,45,66dbf362-0aca-11e7-82f6-3863bb44ef7c,Market St & Cherry St,40.71076228,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.99400398 40.71076228),241,Chinatown
2105,-73.970127,6303.02,71,62,1984510483573713186,1 Ave & E 42 St,40.748757499999996,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.970127 40.748757499999996),1390,UN/Turtle Bay South
2109,-73.98802084,5374.01,71,59,66db728c-0aca-11e7-82f6-3863bb44ef7c,Norfolk St & Broome St,40.7172274,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98802084 40.7172274),905,Lower East Side
