lat,lon,processed,new_records,error
40.84,-73.96,True,0,
40.84,-73.955,True,0,
40.84,-73.95,True,2,
40.84,-73.945,True,40,
40.84,-73.94,True,20,
40.84,-73.935,True,0,
40.84,-73.93,True,12,
40.84,-73.925,True,12,
40.845,-74.02,True,4,
40.845,-74.015,True,1,
40.845,-74.01,True,2,
40.845,-74.005,True,30,
40.845,-74.0,True,22,
40.845,-73.995,True,0,
40.845,-73.99,True,18,
40.845,-73.985,True,5,
40.845,-73.98,True,0,
40.845,-73.975,True,20,
40.845,-73.97,True,3,
40.845,-73.965,True,0,
40.845,-73.96,True,0,
40.845,-73.955,True,0,
40.845,-73.95,True,0,
40.845,-73.945,True,22,
40.845,-73.94,True,62,
40.845,-73.935,True,11,
40.845,-73.93,True,0,
40.845,-73.925,True,19,
40.85,-74.02,True,5,
40.85,-74.015,True,0,
40.85,-74.01,True,6,
40.85,-74.005,True,11,
40.85,-74.0,True,21,
40.85,-73.995,True,0,
40.85,-73.99,True,7,
40.85,-73.985,True,0,
40.85,-73.98,True,10,
40.85,-73.975,True,63,
40.85,-73.97,True,8,
40.85,-73.965,True,0,
40.85,-73.96,True,0,
40.85,-73.955,True,0,
40.85,-73.95,True,0,
40.85,-73.945,True,13,
40.85,-73.94,True,33,
40.85,-73.935,True,48,
40.85,-73.93,True,0,
40.85,-73.925,True,8,
40.855,-74.02,True,21,
40.855,-74.015,True,0,
40.855,-74.01,True,0,
40.855,-74.005,True,0,
40.855,-74.0,True,0,
40.855,-73.995,True,0,
40.855,-73.99,True,0,
40.855,-73.985,True,2,
40.855,-73.98,True,6,
40.855,-73.975,True,5,
40.855,-73.97,True,15,
40.855,-73.965,True,0,
40.855,-73.96,True,0,
40.855,-73.955,True,0,
40.855,-73.95,True,0,
40.855,-73.945,True,0,
40.855,-73.94,True,3,
40.855,-73.935,True,24,
40.855,-73.93,True,2,
40.855,-73.925,True,0,
40.86,-74.02,True,0,
40.86,-74.015,True,0,
40.86,-74.01,True,0,
40.86,-74.005,True,0,
40.86,-74.0,True,0,
40.86,-73.995,True,5,
40.86,-73.99,True,6,
40.86,-73.985,True,0,
40.86,-73.98,True,1,
40.86,-73.975,True,6,
40.86,-73.97,True,2,
40.86,-73.965,True,7,
40.86,-73.96,True,0,
40.86,-73.955,True,0,
40.86,-73.95,True,0,
40.86,-73.945,True,0,
40.86,-73.94,True,2,
40.86,-73.935,True,15,
40.86,-73.93,True,59,
40.86,-73.925,True,40,
40.865,-74.02,True,6,
40.865,-74.015,True,0,
40.865,-74.01,True,0,
40.865,-74.005,True,0,
40.865,-74.0,True,0,
40.865,-73.995,True,0,
40.865,-73.99,True,6,
40.865,-73.985,True,0,
40.865,-73.98,True,2,
40.865,-73.975,True,0,
40.865,-73.97,True,0,
40.865,-73.965,True,5,
40.865,-73.96,True,1,
40.865,-73.955,True,0,
40.865,-73.95,True,0,
40.865,-73.945,True,0,
40.865,-73.94,True,0,
40.865,-73.935,True,7,
40.865,-73.93,True,18,
40.865,-73.925,True,52,
40.87,-74.02,True,14,
40.87,-74.015,True,0,
40.87,-74.01,True,3,
40.87,-74.005,True,0,
40.87,-74.0,True,0,
40.87,-73.995,True,0,
40.87,-73.99,True,0,
40.87,-73.985,True,0,
40.87,-73.98,True,0,
40.87,-73.975,True,0,
40.87,-73.97,True,0,
40.87,-73.965,True,0,
40.87,-73.96,True,1,
40.87,-73.955,True,1,
40.87,-73.95,True,0,
40.87,-73.945,True,0,
40.87,-73.94,True,0,
40.87,-73.935,True,0,
40.87,-73.93,True,0,
40.87,-73.925,True,3,
40.875,-74.02,True,18,
40.875,-74.015,True,0,
40.875,-74.01,True,0,
40.875,-74.005,True,0,
40.875,-74.0,True,0,
40.875,-73.995,True,0,
40.875,-73.99,True,7,
40.875,-73.985,True,0,
40.875,-73.98,True,0,
40.875,-73.975,True,0,
40.875,-73.97,True,0,
40.875,-73.965,True,0,
40.875,-73.96,True,0,
40.875,-73.955,True,8,
40.875,-73.95,True,0,
40.875,-73.945,True,0,
40.875,-73.94,True,0,
40.875,-73.935,True,0,
40.875,-73.93,True,0,
40.875,-73.925,True,0,
