grid_id,lat,lon,geometry,restaurant_count,weighted,population
M-0074,40.71107010173351,-74.01390609757341,"POLYGON ((-74.0124355093381183 40.7099439724724519, -74.0124355093381183 40.7121962247247069, -74.0153766858087039 40.7121962247247069, -74.0153766858087039 40.7099439724724519, -74.0124355093381183 40.7099439724724519))",6.0,1,1237.0
M-0075,40.71107010173351,-74.01096492110283,"POLYGON ((-74.0094943328675328 40.7099439724724519, -74.0094943328675328 40.7121962247247069, -74.0124355093381183 40.7121962247247069, -74.0124355093381183 40.7099439724724519, -74.0094943328675328 40.7099439724724519))",29.0,3,2505.0
M-0076,40.71107010173351,-74.00802374463224,"POLYGON ((-74.0065531563969472 40.7099439724724519, -74.0065531563969472 40.7121962247247069, -74.0094943328675328 40.7121962247247069, -74.0094943328675328 40.7099439724724519, -74.0065531563969472 40.7099439724724519))",36.0,4,5108.0
M-0077,40.71107010173351,-74.00508256816165,"POLYGON ((-74.0036119799263616 40.7099439724724519, -74.0036119799263616 40.7121962247247069, -74.0065531563969472 40.7121962247247069, -74.0065531563969472 40.7099439724724519, -74.0036119799263616 40.7099439724724519))",7.0,1,486.0
M-0078,40.71107010173351,-74.00214139169107,"POLYGON ((-74.0006708034557761 40.7099439724724519, -74.0006708034557761 40.7121962247247069, -74.0036119799263616 40.7121962247247069, -74.0036119799263616 40.7099439724724519, -74.0006708034557761 40.7099439724724519))",1.0,1,1165.0
M-0079,40.71107010173351,-73.99920021522048,"POLYGON ((-73.9977296269851905 40.7099439724724519, -73.9977296269851905 40.7121962247247069, -74.0006708034557761 40.7121962247247069, -74.0006708034557761 40.7099439724724519, -73.9977296269851905 40.7099439724724519))",4.0,1,843.0
M-0080,40.71107010173351,-73.9962590387499,"POLYGON ((-73.9947884505146050 40.7099439724724519, -73.9947884505146050 40.7121962247247069, -73.9977296269851905 40.7121962247247069, -73.9977296269851905 40.7099439724724519, -73.9947884505146050 40.7099439724724519))",3.0,1,1786.0
M-0081,40.71107010173351,-73.99331786227931,"POLYGON ((-73.9918472740440194 40.7099439724724519, -73.9918472740440194 40.7121962247247069, -73.9947884505146050 40.7121962247247069, -73.9947884505146050 40.7099439724724519, -73.9918472740440194 40.7099439724724519))",3.0,1,1633.0
M-0082,40.71107010173351,-73.99037668580873,"POLYGON ((-73.9889060975734338 40.7099439724724519, -73.9889060975734338 40.7121962247247069, -73.9918472740440194 40.7121962247247069, -73.9918472740440194 40.7099439724724519, -73.9889060975734338 40.7099439724724519))",0.0,1,1633.0
M-0083,40.71107010173351,-73.98743550933814,"POLYGON ((-73.9859649211028483 40.7099439724724519, -73.9859649211028483 40.7121962247247069, -73.9889060975734338 40.7121962247247069, -73.9889060975734338 40.7099439724724519, -73.9859649211028483 40.7099439724724519))",0.0,1,896.0
M-0084,40.71107010173351,-73.98449433286756,"POLYGON ((-73.9830237446322627 40.7099439724724519, -73.9830237446322627 40.7121962247247069, -73.9859649211028483 40.7121962247247069, -73.9859649211028483 40.7099439724724519, -73.9830237446322627 40.7099439724724519))",0.0,1,856.0
M-0085,40.71107010173351,-73.98155315639697,"POLYGON ((-73.9800825681616772 40.7099439724724519, -73.9800825681616772 40.7121962247247069, -73.9830237446322627 40.7121962247247069, -73.9830237446322627 40.7099439724724519, -73.9800825681616772 40.7099439724724519))",0.0,1,605.0
M-0086,40.71107010173351,-73.97861197992638,"POLYGON ((-73.9771413916910916 40.7099439724724519, -73.9771413916910916 40.7121962247247069, -73.9800825681616772 40.7121962247247069, -73.9800825681616772 40.7099439724724519, -73.9771413916910916 40.7099439724724519))",0.0,1,605.0
